original,gentle,playful,bold,id,scenario
I wonder,Wonder about what? I wonder how I got so lucky to meet you,Wonder? I wonder if you know how amazing you are,Wonder? I wonder what you look like without clothes,flirt_0183,private moment
I imagine,Imagine? I love someone with such a creative beautiful mind,Imagine? I've been doing a lot of imagining about you too,Imagine? I'm imagining you in my bed right now,flirt_0184,quiet moment
I fantasize,Fantasize? Your imagination must be as beautiful as you are,Fantasize? Care to share? I promise I'm a good listener,Fantasize? Me too... want to make them real?,flirt_0185,day activity
I like that,I like that you have such great taste... in everything,I like that too! We're clearly meant for each other,I like you... a lot more than just 'that',flirt_0186,group setting
I hate this,Hate it? Let me be the bright spot in your day,Hate it? Good thing you met me to turn things around,Hate it? I'll make you forget all about whatever's bothering you,flirt_0187,energetic environment
I love this,Love it? Your happiness is absolutely radiant,Love it? I love your enthusiasm... and everything else about you,Love it? Wait until you experience what I love doing,flirt_0188,evening out
I prefer,Good preferences... you clearly have excellent taste,I prefer you over anyone else here,"I prefer you naked, but I'll take what I can get",flirt_0189,energetic environment
I choose,Good choice... you always seem to make the right decisions,Good choice! Now choose to spend more time with me,Good choice... now choose my bedroom over going home,flirt_0190,entertainment venue
I decide,Decisive... I love someone who knows what they want,Decided? I've decided you're absolutely wonderful,Decided? I've decided I want you tonight,flirt_0191,learning environment
I believe,I believe you're one of the most amazing people I've ever met,I believe this is the beginning of something beautiful,I believe we should skip the small talk and get naked,flirt_0192,casual environment
I trust,Trust? I'm honored you feel that way... you can trust me completely,"Trust? Trust me, you're going to love getting to know me","Trust? Trust me, I know exactly how to please you",flirt_0193,formal setting
I doubt,Doubt? Don't doubt how amazing you are,Doubt? I doubt you realize how incredible you are,Doubt? Don't doubt how much I want to ravish you,flirt_0194,energetic environment
I hope,I hope so too... and I hope this is just the beginning for us,I hope you know how lucky I feel to be talking to you,I hope you're thinking the same dirty thoughts I am,flirt_0195,evening out
I can't,"Can't? Don't worry, I believe in you... you're capable of anything",Can't? I can't believe how gorgeous you are,Can't? I can't wait to get you alone,flirt_0196,professional context
I can,I can tell you're incredibly capable... and beautiful,I can see that... I can also see us together,I can do things that will blow your mind,flirt_0197,public interaction
I'm good at,I'm good at recognizing amazing people... like you,I'm good at many things... especially charming beautiful people,I'm good at things you haven't even imagined yet,flirt_0198,chance meeting
I'm bad at,Bad at what? You seem perfect at everything to me,"Bad at hiding how much I like you, that's what I'm bad at",I'm bad at keeping my hands to myself around you,flirt_0199,intimate setting
I know how to,I know how to appreciate someone special when I meet them,I know how to make you smile... want me to prove it?,I know how to make you feel things you've never felt before,flirt_0200,celebration
I learned,Learned? I'm learning how amazing you are with every word,Learned? I just learned that perfection exists... it looks like you,Learned? I've learned that I need to have you,flirt_0201,daytime interaction
I practice,Practice? I should practice telling you how wonderful you are more often,Practice? I practice being charming... clearly it's working,Practice? I practice things that would make you blush,flirt_0202,intimate setting
I teach,Teach? You're teaching me what true beauty looks like,Teach? You could teach a masterclass in being gorgeous,Teach? I could teach you a few things... privately,flirt_0203,shopping area
I study,Study? I'd love to study every beautiful detail about you,Study? I've been studying your smile all day,Study? I want to study every inch of your body,flirt_0204,evening out
I master,Master? You've mastered the art of being absolutely captivating,Master? You've mastered making my heart skip beats,Master? I've mastered techniques that'll drive you wild,flirt_0205,public interaction
I want,I want to get to know the person behind that beautiful smile,I want to be the reason you smile like that more often,"I want you... right here, right now",flirt_0206,private moment
I need,I need to tell you how incredible you are,"I need more time with you... like, a lot more time",I need you in ways I can't say in public,flirt_0207,planned encounter
I wish,I wish this moment could last forever,I wish I'd met you sooner... think of all the time we've wasted,I wish I could show you what you do to me,flirt_0208,shared activity
I crave,I crave meaningful conversations with someone as interesting as you,I crave your attention... is that too forward?,I crave your touch... your lips... all of you,flirt_0209,social gathering
I desire,I desire to know what makes someone so wonderful tick,I desire to be the person who makes you happiest,I desire to worship every inch of your perfect body,flirt_0210,waiting situation
I long for,I long for more moments like this with you,I long for the day you realize how perfect we are together,I long to feel your body against mine,flirt_0211,social gathering
I yearn,I yearn to discover all the wonderful things about you,I yearn to be the person who gets all your attention,I yearn to make you scream my name,flirt_0212,public place
I dream of,I dream of someone exactly like you... and here you are,I dream of you already... is that too intense?,I dream of doing unspeakable things to you,flirt_0213,public place
I fantasize about,I fantasize about all the beautiful places we could go together,I fantasize about being the person who makes you laugh every day,I fantasize about you in my bed... constantly,flirt_0214,planned encounter
